"type","duration","distance","hour","day","month","year"
"scooter",363,310,20,0,9,2018
"scooter",573,2953,10,0,9,2018
"scooter",456,901,20,5,9,2018
"scooter",122,465,11,3,9,2018
"scooter",305,149,22,0,9,2018
"scooter",434,1700,11,3,9,2018
"scooter",533,1527,12,2,9,2018
"scooter",436,1611,9,4,9,2018
"scooter",1223,4562,14,5,9,2018
"scooter",3845,4758,15,5,9,2018
"scooter",329,410,8,1,9,2018
"scooter",76,135,22,6,9,2018
"scooter",306,1233,22,4,9,2018
"scooter",2318,8186,13,6,9,2018
"scooter",87,255,17,3,9,2018
"scooter",326,858,11,1,9,2018
"scooter",244,0,15,6,9,2018
"scooter",522,2487,15,1,9,2018
"scooter",1298,2523,15,5,9,2018
"scooter",314,516,12,2,9,2018
"scooter",64,0,11,4,9,2018
"scooter",47,113,22,4,9,2018
"scooter",600,1780,13,6,9,2018
"scooter",470,1232,18,3,9,2018
"scooter",1134,2554,16,0,9,2018
"scooter",554,2552,12,2,9,2018
"bicycle",483,1400,16,4,9,2018
"scooter",188,448,9,5,9,2018
"scooter",706,1200,20,1,9,2018
"scooter",2181,3993,18,3,9,2018
"scooter",317,663,19,5,9,2018
"scooter",75,126,11,0,9,2018
"scooter",67,105,20,5,9,2018
"scooter",367,1300,20,0,9,2018
"scooter",185,801,9,4,9,2018
"scooter",409,703,2,3,9,2018
"scooter",267,1100,10,3,9,2018
"scooter",1926,2718,21,5,9,2018
"scooter",328,373,13,6,9,2018
"scooter",138,318,11,2,9,2018
"scooter",326,1089,16,4,9,2018
"scooter",291,837,16,6,9,2018
"scooter",207,380,18,4,9,2018
"scooter",932,2010,18,6,9,2018
"scooter",842,2382,20,0,9,2018
"scooter",2138,4273,13,5,9,2018
"scooter",369,491,14,5,9,2018
"scooter",335,533,19,3,9,2018
"scooter",957,0,12,3,9,2018
"scooter",619,357,10,6,9,2018
"scooter",311,646,13,2,9,2018
"scooter",299,201,13,2,9,2018
"scooter",410,1224,13,2,9,2018
"scooter",212,951,15,6,9,2018
"scooter",249,648,19,0,9,2018
"scooter",208,534,9,4,9,2018
"scooter",470,1508,19,3,9,2018
"scooter",289,0,14,5,9,2018
"scooter",7,0,13,6,9,2018
"scooter",646,2506,19,4,9,2018
"scooter",340,1355,10,2,9,2018
"scooter",2348,903,21,1,9,2018
"scooter",294,930,9,4,9,2018
"scooter",76,0,15,5,9,2018
"scooter",209,600,10,0,9,2018
"bicycle",30,0,12,2,9,2018
"scooter",1294,6344,15,6,9,2018
"scooter",487,0,10,0,9,2018
"scooter",90,45,20,6,9,2018
"scooter",387,0,13,4,9,2018
"scooter",1201,1846,20,6,9,2018
"scooter",364,889,12,5,9,2018
"scooter",72,286,13,4,9,2018
"scooter",173,49,10,5,9,2018
"scooter",642,644,13,5,9,2018
"scooter",302,1154,16,2,9,2018
"scooter",128,230,14,3,9,2018
"scooter",341,0,14,0,9,2018
"scooter",420,1151,8,1,9,2018
"scooter",178,270,13,4,9,2018
"scooter",1030,3501,19,3,9,2018
"scooter",473,1872,20,3,9,2018
"scooter",126,130,13,1,9,2018
"scooter",230,208,11,6,9,2018
"scooter",521,1130,17,3,9,2018
"scooter",435,1142,17,5,9,2018
"scooter",187,356,16,2,9,2018
"scooter",361,1038,14,5,9,2018
"scooter",445,1247,11,3,9,2018
"scooter",58,18,16,5,9,2018
"scooter",225,847,10,5,9,2018
"scooter",385,343,18,6,9,2018
"scooter",361,373,15,4,9,2018
"bicycle",371,901,21,6,9,2018
"scooter",659,4,13,0,9,2018
"scooter",306,600,18,0,9,2018
"scooter",388,673,12,0,9,2018
"scooter",51,59,22,5,9,2018
"scooter",131,481,22,2,9,2018
"scooter",467,10,15,3,9,2018
"scooter",502,0,8,4,9,2018
"scooter",954,2556,20,0,9,2018
"scooter",277,260,13,6,9,2018
"scooter",146,638,14,3,9,2018
"scooter",868,2905,15,0,9,2018
"scooter",384,1091,13,2,9,2018
"scooter",194,642,13,3,9,2018
"scooter",56,1,19,6,9,2018
"scooter",2468,10737,14,0,9,2018
"scooter",3055,6854,9,6,9,2018
"scooter",149,371,12,2,9,2018
"scooter",339,464,17,2,9,2018
"bicycle",720,1742,16,6,9,2018
"scooter",2147,5022,15,2,9,2018
"scooter",522,1755,18,5,9,2018
"scooter",1022,2287,14,6,9,2018
"scooter",316,758,15,3,9,2018
"scooter",179,961,18,2,9,2018
"scooter",265,855,22,3,9,2018
"scooter",183,140,18,6,9,2018
"scooter",44,27,13,0,9,2018
"scooter",241,0,20,4,9,2018
"scooter",354,1025,17,5,9,2018
"scooter",910,0,19,6,9,2018
"scooter",321,452,15,4,9,2018
"scooter",246,449,20,0,9,2018
"scooter",503,1168,7,2,9,2018
